company,description,salary,technologies,title
Intellias,"Let’s breathe life into great tech ideas! With more than 3 000 people globally, Intellias is a company where benchmark technological solutions are born. Join in and take your part in digitalizing the world. What project we have for you Extract scenes from the real world allowing top automotive companies to simulate their autonomous driving solutions. 

 What you will do Participate in the development, and maintenance of Python applications.  Troubleshoot and debug applications to resolve issues.  Write clean, efficient, and self-documented code.  Implement automation tests.  Collaborate with team members to identify and solve technical problems.  Participate in code reviews to ensure code quality and maintainability.  Work with stakeholders to gather and analyze requirements and provide technical solutions.  Monitor application performance and provide optimization recommendations.  Stay up to date with the latest technologies and industry trends.  

 What you need for this 6+ years of experience working as a Python Engineer or in a similar role.  Strong proficiency in Python programming and knowledge of object-oriented programming principles.  Solid understanding of algorithms and data structures.  Experience with OpenSearch / Elastic Search i.e. Understanding how the index’s works and how the layer are stitched together, also how to create schemas. Experience in Prompt Engineering to maintain, enhance or modify the prompts used for AWS Bedrock. Proficiency in ETL, protobuf.  Experience with Amazon Web Services (AWS).  Experience with API Gateway, Lambda’s, Step-Functions. Proficiency in version control systems, particularly Git.  Knowledge of Agile methodologies, such as Scrum, and experience working in Agile teams.  Strong problem-solving skills and the ability to debug and optimize code.  Excellent communication and teamwork skills, with the ability to collaborate effectively with cross-functional teams.  Will be a plus: Experience with HDLive maps, Open Drive, etc.  

 What it’s like to work at Intellias At Intellias, we are committed to being an equal opportunity employer, fostering equity, diversity, and inclusion. We welcome and celebrate the differences of all qualified applicants. Join Intellias for a career where your unique perspectives are not only valued but crucial to our success.",Not specified,"Python,AWS,API,GIT",Lead/Principal Python Engineer
Join.To.IT,"Ми — українська аутсорсингова компанія  Join.To.IT , більше 10 років створюємо програмні рішення в різних сферах бізнесу. Наша команда складається з досвідчених професіоналів, які захоплені своєю справою, поділяють спільні цінності та прагнуть до кращого результату. Зараз ми шукаємо талановитого Python розробника. Якщо Ви дійсно любите те, що робите, надсилайте своє резюме та ставайте частиною нашої команди. Що треба мати:   • 2+ роки розробки комерційних проектів на Python; • володіння англійською мовою на рівні не нижче, ніж Upper-Intermediate; • досвід роботи з фреймворками: Django, DRF, FastAPI; • знання баз даних: Postgres, Redis; • знання менеджера задач: Celery; • досвід роботи з Docker, Docker Compose; • розуміння бізнес-процесів; • навички комунікації та командної роботи; • навички тайм-менеджменту; • бажання розвиватись та навчатись. Що треба буде робити:   • розробка функціоналу проєкту; • підтримка існуючих проектів та покращення функціональності існуючих рішення; • проведення оцінки проєктів; • сode review. Буде плюсом:   • експертиза в хмарній платформі AWS; • досвід тестування коду. Ми пропонуємо: • нетривіальні виклики та різноманітні завдання; • гнучке та дружнє робоче середовище; • можливість впливати на реалізацію та інтеграцію нових підходів в діяльності відділу; • гнучкий початок робочого дня з 9:00 до 10:00; • можливість професійного та кар’єрного зростання, performance&salary review кожних пів року; • комфортний офіс із укриттям, Starlink та безперебійним світлом, поруч із м. Васильківська; • медичне страхування; • безкоштовне відвідування тренажерного залу поруч із офісом; • покриття професійних курсів; • часткове покриття курсів англійської мови.",Not specified,"Python,Django,FastAPI,AWS,API,Docker,Celery,Redis,DRF",Python Developer
OnHires,"As a python developer and monetization lead, you will drive the development and communication around monetizing a cutting-edge product suite of AI based services. You will collaborate with technical teams and business partners to maximize the value delivered to users through API and backend functionalities Key Responsibilities Lead the development of APIs and related functionalities using Python, focusing on delivering value to end users. Provide expert technical support to validators looking to monetize their infrastructure. Track, analyze, and report on API usage, product adoption, and monetization performance. Communicate effectively with internal teams and external partners, generating technical reports and addressing stakeholder inquiries. Required Skills & Qualifications Proven expertise in Python, with experience with API development and backend systems. Experience with monetization strategies for software platforms.particularly within decentralized networks (blockchain, AI inference, etc.). Strong communication skills, capable of creating technical reports and engaging with customers and partners. Passion for emerging technologies, such as blockchain and AI, with demonstrated problem-solving abilities and adaptability. Bonus Qualifications Experience with AI development, ML engineering or working with AI-driven systems. Familiarity with web3, blockchain and/or decentralised networks. Familiarity monetization techniques for digital services. Experience with devops and cloud deployment If you’re passionate about emerging tech and monetization strategies, we want to hear from you!",Not specified,"Python,API,ML,GIT",Senior Python Developer
Treeum,"Treeum  — продуктова  FinTech -компанія. Ми розробляємо платформи, прості та зручні сервіси, які дозволяють користувачам легко вибрати і замовити фінансові послуги. Зараз ми шукаємо  Senior Python Developer , для проєкту  Валютний Аукціон  (Валютний напрямок). Задачі на посаді : Розробка, підтримка та оптимізація мікросервісів на Python з акцентом на асинхронну роботу.  Оптимізація взаємодії з базами даних для забезпечення ефективного зберігання та обробки даних. Використання RabbitMQ для налаштування обміну повідомленнями між сервісами. Підтримка та створення нових інтеграцій з зовнішніми сервісами.  Проєктування та розробка нових сервісів за бізнес-вимогами. Наші очікування: Знання принципів мікросервісної архітектури.  Досвід роботи з Python не менше 5 років, включаючи асинхронні фреймворки FastAPI та синхроні Eve (Flask), Dramatic.  Високий рівень знань у реляційних та нереляційних базах даних MongoDB, ElasticSearch, Redis і TimescaleDB.  Досвід роботи з брокером повідомлень такими, як RabbitMQ.  Досвід роботи з бібліотеками python Pydantic, pymongo, motor, SQLAlchemy, alembic, а також python-requests або aiohttp для асинхронної взаємодії з API.  Навички інтеграції з зовнішніми сервісами. Буде плюсом: Досвід роботи з CI/CD інструментами та налаштування пайплайнів на GitLab та їх підтримка.  Знання Kubernetes для розгортання та управління кластерами контейнерів.  Навички роботи з хмарними сервісами, такими як AWS або Google Cloud.  Досвід роботи з великими даними та аналітичними сервісами. Ми пропонуємо: Формат роботи fully remote, або гібридний з можливістю відвідування автономного офісу open space поруч з метро Палац України у місті Києві за потреби кандидата Достойний рівень заробітної плати та гідне ставлення до працівника Корпоративну програму бенефітів: доступ до медичного страхування, підтримку ментального здоров’я, компенсацію професійного навчання, чи інших категорій на вибір Оплачувану відпустку, лікарняні та додаткову матеріальну підтримку в надзвичайних ситуаціях Відкритість до нових ідей та персональний вплив на розвиток бізнесу  Доєднайся до компанди, яка змінить майбутнє українського фінтеху.",Not specified,"Python,Flask,FastAPI,AWS,API,Kubernetes,Redis,RabbitMQ,MongoDB,Elasticsearch,SQLAlchemy,requests,aiohttp,Pydantic,GIT",Senior Python Developer
OpenWeather,"We are  OpenWeather  — a high-growth, dynamic technology company headquartered in the iconic Gherkin, one of the most remarkable business centres in the City of London. We proudly serve over six million customers worldwide, ranging from small businesses to large corporate clients, with our analytical products and data sets based on weather data and satellite imagery. Our team embodies diverse experience in IT technologies, big data, science, machine learning, and data processing. This unique blend makes OpenWeather an exceptional workplace, one that fosters a close-knit community of professionals committed to sustainability and ethical business practices. We strive not only to innovate but also to make a positive impact on the environment and society through our operations and services. Core Values: — Performance-Driven: Our team members come from various backgrounds and corners of the world, bringing diverse expertise. What unites us is our commitment to performing at our best, continuously learning, and thriving as we tackle new challenges. — Collaborative: We believe that two heads are usually better than one. Collaboration is at the heart of our approach. We work closely together, supporting one another, and sharing a collective vision to find the best solutions for our clients. What we are looking for: We are recruiting on an exclusive basis for a Python Developer to join our development team. OpenWeather has already established relations with more than 6 million customers, and we are now looking for a colleague who will be able to: — Design, develop and maintain new and existing Python code in accordance with the coding standards and best practices in one of the development teams (high-loaded services & APIs, pipelines for loading and processing data, internal analytical tools) — Support the product releases — Investigate issues when necessary Essential skills: — Experience in backend applications (2 + years)  — Experience in Python (sanic, FastAPI, aiohttp)  — Knowledge of Linux, Git, Docker, REST API — Technical English Would be a benefit: — Knowledge one of additional languages v Node.js, Golang, PHP — Work with distributed scalable and high-loaded systems — Experience in asynchronous task queues q RabbitMQ, Celery, Airflow) — Experience in NoSQL or in-memory databases q MongоDB, Cassandra, Redis) — Experience in tools for runtime monitoring and debugging q StatsD, Grafana, Sentry)  — Participating in pet projects, open-source projects — Having a GitHub profile Soft skills: — Exceptional attention to detail — A polite, friendly, and diplomatic manner",$1900–2200,"Python,FastAPI,API,Docker,Celery,Redis,RabbitMQ,Sentry,Grafana,aiohttp,GIT",Python Developer
Aimedat,"Український MilTech стартап  Aimedat  — це інноваційні рішення для FPV-дронів із застосуванням штучного інтелекту. Наша мета — створити комплексне рішення для FPV-дронів, яке включатиме код, документацію та налаштування прошивки, і надати його всім авторизованим виробникам. Це охоплює як розробку віртуального середовища для тренування ШІ й навчання власної моделі, так і створення фізичних прототипів та дронів. Проєкт знаходиться на  4-й  стадії технологічної готовності (TRL) і активно розвивається. Ми пропонуємо можливість отримати частку в компанії для тих, хто приєднається на цьому етапі, з перспективою гідної заробітної плати після завершення фандрайзингу. Зараз ми активно шукаємо  Software Engineer  для розробки програмного забезпечення, яке взаємодіє з нашими системами, використовуючи Linux, Python, MAVLink та інші технології. Основні обов’язки   — Оптимізація програмного забезпечення. — Інтеграція і робота з MAVLink протоколом.  — Робота з симуляторами, такими як Airsim. Вимоги   — Впевнене знання Python. — Досвід розробки на Linux. — Досвід роботи з MAVLink протоколом. — Знання micro-DDS або інших протоколів обміну даними в реальному часі. Буде плюсом   — Досвід роботи з системами автопілотування або симуляторами дронів.  — Знання C++. — Досвід використання симуляторів, таких як Airsim.  — Досвід у розробці рішень для дронів.  Ми пропонуємо — Участь у розробці передових miltech рішень. — Можливість впливати на кінцевий продукт, який змінить правила гри в військовій сфері. — Робота над реальним проєктом, що спрямовані на підсилення обороноздатності України. Спотерігати за нами:   Telegram  |  TikTok",Not specified,Python,Software Engineer
COMPARUS UA,"Проєкт   TiONA  — платформа для комунікацій співробітників компанії із інтегрованими інструментами для управління процесами.  Основною метою проекту є створення надійної та зручної платформи для спілкування та співпраці для німецького ринку. Процеси розробки базуються на методології Agile. Локація:  офіс в Дніпрі, можливий ремоут (обговорюється окремо) Команда даного проєкту:  10+ досвідчених спеціалістів, що створює додаток, здатний вилучати та структурувати дані зі сканованих чи фотодокументів. Ми активно масштабуємо команду, щоб задовольнити зростаючі потреби ринку та забезпечити швидкий розвиток платформи TiONA. Твої обовʼязки: ти будеш впроваджувати мікросервіси з нуля, долучишся до провадження алгоритмів обробки документів, будеш налаштовувати конфігурацію взаємодії мікросервісів. Твій досвід: Розробка на Python:  маєш глибоке розуміння Python 3.9 та понад 4 роки практичного досвіду розробки на цій мові. Веб-розробка:  впевнено створюєш RESTful веб-сервіси та працюєш з design service API (OpenAPI Swagger contracts). DevOps:  маєш досвід роботи з Docker, OpenShift/Kubernetes та Jenkins для автоматизації процесів розробки та доставки. Обробка даних:  досвідчений у роботі з OCR та обробці PDF документів. Англійська мова:  впевнено спілкуєшся англійською мовою як усно, так і письмово (рівень B1+). Буде перевагою: Backend-розробка:  маєш комерційний досвід розробки backend-частини додатків та розуміння архітектурних рішень. Machine Learning:  маєш досвід роботи з ML/DL моделями та відповідними інструментами. Бази даних:  вмієш працювати з різними типами баз даних, включаючи реляційні (OracleDB, Postgresql) та NoSQL (MongoDB). Організаційні здібності:  вмієш ефективно планувати та організовувати свою роботу. Ти отримаєш: Роботу над масштабним проєктом:  ти будеш брати участь у створенні системи, яка впливає на життя мільйонів людей. Технологічний стек:  зможеш працювати з найсучаснішими технологіями і інструментами. Професійний розвиток:  у тебе буде можливість навчатись та сертифікуватись за професійним напрямком, отримувати нові знання від Onboarding Guide, професійно зростати у мотивуючому оточенні професіоналів. Умови співпраці:  повне технічне оснащення (MacBook, додатковий монітор, комфортне робоче місце), гібрідний формат співпраці без овертаймів. 27 бенефітів , з якими познайомимо на дзвінку з рекрутером. Тебе відділяє від співпраці з нами  3-10 днів,  а саме: Короткий дзвінок-знайомство в зручний для тебе час  (15-20 хвилин). Тестове завдання (за нашим досвідом тобі знадобиться близько 4 годин, на виконання у тебе буде 3 дні). Online call: 15 хв перевірка рівня English, 30 хв детальне обговорення вакансії з Recruiter. Технічна співбесіда з Team Lead та потенційним Tech Onboarding Guide  (60-90 хв). * етапи можуть змінюватись в ході спілкування, але завжди лише з метою можливої подальшої співпраці. Про COMPARUS: 23 роки Comparus GmbH ( Гамбург) та 16 років COMPARUS UA (Дніпро) поєднують стратегічний консалтинг, інноваційні технології та розробку програмного забезпечення для німецького фінансового сектору. Опікуємось як проєктами клієнтів, так і власними продуктами. Приєднуйся до нашої команди, яка створює інноваційні рішення для німецького фінансового сектору! Для швидкого звʼязку пишіть нашій рекрутерці Катерині в Telegram — @Katrina0324",Not specified,"Python,API,Docker,Kubernetes,PostgreSQL,MongoDB,Jenkins,ML",Middle Python Developer
Leobit,"Leobit ( leobit.com ) is a full-cycle web and mobile application development provider for the technology companies and startups primarily located in the US, Canada, Australia, the UK, and the EU. Our technology focus covers .NET, Angular, React, iOS, Android, Ruby, PHP and a comprehensive range of other technologies from Microsoft, Web, and Mobile Stacks. We are looking for  a   Machine Learning/Deep Learning — Python Engineer  to join our team. Requirements: Proficiency in full-stack data science tools, including data wrangling, iterative analysis, and batch processing Familiarity with leading machine learning/deep learning libraries such as sklearn, PyTorch, and Lightning Experience with model industrialization tools, including quantization, ONNX, Docker, etc. Knowledge of MLOps practices and pipeline development for continuous integration and deployment Efficient handling of large datasets: processing, clustering, filtering, indexing, and querying Experience with automated model training and deployment processes Strategic data analysis and research, including statistical tests, error propagation, and identification of clusters and outliers Cloud expertise, including AWS and/or Azure Cloud Services (would be a plus) Strong SQL and NoSQL skills Solid understanding of data structures Experience in Frontend (Angular) (would be a plus) Experience with compiled languages such as C#, C++, or others (would be a plus) Bachelor’s or Master’s degree in Mathematics or Statistics, with a strong focus on applied technologies (or similar technical field) Level of English: Upper-Intermediate (at least) Responsibilities: Develop efficient workflows for feature extraction and data processing, focusing on managing CAD, 2D, and various datasets (both raw and filtered) for Machine Learning applications Design, engineer, and take responsibility for cloud services, APIs, automated model training and deployment, as well as build tools Oversee the full lifecycle of services — from proof of concept (POC) to production-ready implementation Gain in-depth knowledge of interconnected cloud, data, computer vision, and machine learning services across multiple programming languages and platforms Develop and maintain services for optimization and machine learning Analyze and manage 2D/3D/CAD datasets Lead the development of solutions for 2D drawing and computer vision problems We offer: Interesting and challenging projects Competitive compensation and regular results-based salary review A broad range of professional education and personal development possibilities Comfortable and cozy working environment  Motivated colleagues with profound knowledge of the technical field Аttractive compensation package Accelerate your career with Leobit!",Not specified,"Python,AWS,API,Azure,Docker,PyTorch,ML",Machine Learning/Deep Learning — Python Engineer
N-iX,"We are looking for a talented  Senior Java Engineer (with Kotlin&Python skills)  to join our team. Our California-based customer is an American global e-commerce leader, one of the most popular and successful websites on the Internet. It provides platform services by connecting millions of sellers and buyers in more than 190 markets around the world.  The Senior Kotlin Engineer will be a part of the AI Core team to bring new experiences for sellers and buyers leveraging Machine Learning models and other Artificial Intelligence tools to maximize the fun and accuracy of the shopping experience.  Main Responsibilities: Design and develop a robust and extensible Kotlin library for configuring and managing LLM agents Write clean, maintainable, and efficient code that complies with our coding standards Ensure the performance, quality, and responsiveness of the library Identify and correct bottlenecks and errors Help to maintain code quality, organization, and automatization. Create and maintain technical documentation for the library Role Requirements: At least  4-5  years of proficiency with Kotlin and Java At least 2 years of proficiency in Python Deep experience with the Spring Framework  Reactive tools experience  Strong understanding of object-oriented programming and design patterns Experience in creating libraries and frameworks for other developers  Proficiency in Maven or similar tools  Familiarity with AI, machine learning, and natural language processing concepts is a plus Very good spoken and written knowledge of the English language (C1) BSc or MSc in Computer Science, Engineering or a relevant field Nice to have: Familiarity with NoSQL databases    We offer: Flexible working format — remote, office-based or flexible A competitive salary and good compensation package Personalized career growth Professional development tools (mentorship program, tech talks and trainings, centers of excellence, and more) Active tech communities with regular knowledge sharing Education reimbursement Memorable anniversary presents Corporate events and team buildings Other location-specific benefits",Not specified,"Python,Bottle",Senior Java Engineer (with Kotlin&Python skills) (#2124)
NCube Ltd.,"We are looking for a Senior Full Stack Developer to join our client’s dynamic team. You will be working on the development of innovative solutions that leverage satellite data for environmental monitoring. This is an exciting opportunity to be at the forefront of space and environmental technology.  

   Client  — a cutting-edge Finnish company specializing in space technology, particularly in satellite data and environmental monitoring. The company focuses on developing and managing constellations of nanosatellites equipped with hyperspectral technology. These satellites are designed to monitor environmental conditions, track climate change, and support agricultural activities by collecting valuable Earth observation data.  

  

 Technologies You’ll Work With:  

  Mapbox — for interactive maps and spatial data visualization     React — for building responsive and dynamic user interfaces     GDAL + Rasterio + Python — for processing geospatial data and working with satellite imagery     Postgres + PostGIS — for handling geospatial databases and large datasets   

   Bonus Skills:  

  Google Cloud Platform (GCP) — for deploying scalable cloud-based solutions     Kubernetes — for managing containerized applications and orchestration     FastAPI — or experience with any other Python web framework (e.g., Django, Flask)   

  

 Requirements:  

  Strong experience with front-end technologies (React) and back-end (Python, Postgres)     Experience with geospatial technologies (Mapbox, GDAL, PostGIS)     Familiarity with cloud platforms like GCP and container orchestration tools like Kubernetes is a plus     Strong problem-solving skills and an ability to work independently or as part of a team     Proficient in English   

  

 Responsibilities:  

  Software development of the client’s service platform     Work closely with the geospatial data team to implement solutions that process and analyze large-scale datasets     Create interactive data visualizations using Mapbox and React to present complex environmental data in an accessible way     Optimize data processing pipelines using Python, GDAL, and Rasterio   

  

 We offer:  

  Competitive salary with the regular review     Medical Insurance after 3 months’ probation period (can be used in Ukraine)     Vacation (up to 20 working days)     Paid sick leaves (10 working days)     National Holidays as paid time off     Online English courses     Accountant assistance and legal support     Flexible working schedule, remote, office-based or hybrid format     Fully equipped perfect office space located in the city center (ready for work in blackouts)     Direct cooperation with the customer     Dynamic environment with low level of bureaucracy and great team spirit     Challenging projects in diverse business domains and a variety of tech stacks     Communication with Top/Senior level specialists to strengthen your hard skills     Online/offline teambuilding’s     Volunteering culture development and support",Not specified,"Python,Django,Flask,FastAPI,API,Google Cloud Platform,Kubernetes",Senior Full Stack Developer — (Python/React/GIS)
Lyft,"At Lyft, our mission is to improve people’s lives with the world’s best transportation. To do this, we start with our own community by creating an open, inclusive, and diverse organization. Lyft’s engineering team is expanding rapidly, and we are seeking talented Software Engineers to join our Pay Productivity team. Our engineers are innovative, adaptable, and passionate about tackling complex problems. They thrive in an environment that values organizational transparency, career growth, mentorship, and constructive feedback. Our engineers deploy code to production continuously, and they depend on their team to enhance productivity by eliminating obstacles and maintaining streamlined processes. The mission of the Pay Productivity team at Lyft is to provide best-in-class, reliable, transparent and cost-effective payments platform to all Lyft products. The team is responsible for ensuring that all Lyft products — Rideshare, Bikes, Scooters, Subscription etc are able to cost effectively process payments, both, pay-ins and pay-outs. This means processing tens of billions of dollars in customer payments and driver payouts every year. The team also builds platform capabilities to support innovative payment products, some of the recent ones include Daily Billing, Lyft Cash, Lyft Direct, Subscriptions and several others. The team owns the integration with our 3rd party payment processors, co-brand partners and gift card program managers. Responsibilities: Be responsible for, design, develop, deploy, monitor, operate and maintain existing or new elements of our payment processing capabilities Maintain, improve, and develop tooling and systems that enhance the reliability, scalability, and efficiency of our platform Unblock, support and communicate with internal partners to achieve results Have a good grasp and ability to explain the various trade-offs made in decisions Participate in our team’s on-call rotations, respond to incidents, and support other teams to mitigate customer-impacting events Share your knowledge by giving brown bags, tech talks, and promoting appropriate tech and engineering best practices Help leading large projects from idea to positive execution Experience: BS/MS or equivalent in Computer Engineering, Computer Science, or related field or relevant work experience 4+ years of software engineering industry experience with Go/Python/Scala/Java/.Net/etc. Experience designing, debugging and running fault-tolerant, highly available, large-scale distributed systems Experience working with public cloud platforms (e.g., AWS, GCP, Microsoft Azure, etc.) Experience working with databases, relational or NoSQL Write clear, scalable and clear design documentation Must have a track record of professional excellence Benefits: The latest technology and equipment you need. 28 calendar days for vacation and up to 5 paid days off. 18 weeks of paid parental leave. Biological, adoptive and foster parents are all eligible. Mental health benefits. Family building benefits.",Not specified,"Python,AWS,API,Azure,ML",Backend Engineer — Payments
NerdySoft,"NerdySoft продовжує зростати та зараз у пошуку талановитого та проактивного  Senior Python -інженера! Вимоги:  6+ років досвіду роботи з Python; Практичний досвід роботи з базами даних PostgreSQL/MySQL/MsSQL; Глибоке розуміння архітектури веб-додатків, зокрема побудови різних компонентів (frontend, backend, бази даних); Досвід роботи з Django та Javascript (додаткові фреймворки/бібліотеки — плюс); Досвід створення інтеграційних додатків з використанням різноманітних API (REST, SOAP); Досвід інтеграції з SalesForce буде значною перевагою; Глибокі знання принципів OOP, практичної архітектури та DDD (Domain-Driven Design); Знайомство з гнучкими методологіями розробки (Agile, Scrum); Ступінь бакалавра в галузі комп’ютерних наук або іншій відповідній сфері; Сильні аналітичні та проблемно-орієнтовані навички, здатність працювати автономно і ефективно вирішувати складні технічні завдання; Відмінні комунікаційні навички та вміння працювати в команді; Рівень англійської — B2 і вище. Обов’язки: Архітектура та проектування інтеграційного модуля між SalesForce та 3rd party systems;  Обробка, структурування та трансформація великих об’ємів даних; Створення та підтримка API, сервісів та системи; Докладення зусиль для покращення інженерних процесів та стандартів кодування; Розробка та створення нових функцій; Дослідження та використання сторонніх інструментів для вирішення внутрішніх інженерних завдань; Створення нових інструментів для наших операційних команд або вдосконалювати існуючі інструменти; Консолідування даних з різних платформ. Ми пропонуємо: Довготривалу та плідну співпрацю; Гнучкий графік роботи та можливість працювати віддалено; Комфортний, сучасний офіс у центрі Львова, що обладнаний генератором та старлінком; Регулярний перегляд компенсації за результатами співпраці; 18 робочих днів щорічної оплачуваної відпустки(+2 додаткові дні за лояльність до компанії) та 25 оплачуваних лікарняних; Медичне страхування або компенсація витрат на спортивні активності; 50% компенсації за сертифікації, конференції, тренінги та інше професійне навчання; 50% компенсації за курси англійської мови. Про проєкт: Наш клієнт — американська фінтех компанія, що фокусується на кредитних послугах, створюючи більш інклюзивний у фінансовому плані світ. Разом із ним команда NerdySoft наполегливо працює над тим, щоб спростити фінансові послуги для заявників, які не отримують належних послуг, шляхом створення установи, яка використовує дані з різних країн, кращу оцінку кредитного ризику та операційну ефективність. Наразі, ведеться розробка повноцінного кастомер кредит продукту з нуля та імплементація декількох аплікацій для різних юзерів. В системі планується використання різноманітних інтеграцій, а також ітеративне розгортання системи та активне використання A/B експериментів та аналітики.",Not specified,"Python,Django,API,PostgreSQL,MySQL",Senior Python Developer
Quintagroup,"About the project We are collaborating with a European company specializing in the production of solar panels and IoT solutions. Our projects involve cutting-edge technology in the renewable energy sector, combining hardware innovation with sophisticated software solutions. Role Description We are seeking an experienced Python Developer/Architect specializing in IoT software stack architectures to join our innovative team. The ideal candidate will play a crucial role in designing and implementing our IoT solutions, with a particular emphasis on edge computing. Key Responsibilities: Design and architect IoT software stacks, with a focus on edge computing solutions Develop and implement Python-based IoT applications and systems Create and maintain dashboards for visualizing sensor data from solar panel systems Collaborate with hardware teams to integrate software solutions with solar panel technology Work closely with clients and internal teams to understand requirements and deliver optimal solutions Ensure scalability, reliability, and security of IoT architectures Mentor and guide other developers in IoT best practices and Python development Requirements: Strong proficiency in Python programming Extensive experience in designing and implementing IoT architectures, especially edge computing solutions Deep understanding of IoT protocols (e.g., MQTT, CoAP) and edge computing paradigms Knowledge of cloud platforms and their IoT services  Understanding of RESTful APIs and microservices architecture Familiarity with version control systems B2+ level of spoken English Preferred Qualifications: Experience in the renewable energy sector, particularly with solar technology Knowledge of machine learning and its applications in IoT Familiarity with hardware interfaces and sensor integration Understanding of security best practices in IoT environments What We Offer: Opportunity to work on innovative projects in the renewable energy and IoT sectors Collaborative environment with direct client interaction Chance to work with cutting-edge technology in solar energy and IoT Competitive salary and benefits package Professional growth and learning opportunities",Not specified,"Python,API,Dash",Python Developer/Architect (IoT)
1648 Factory,"The client is a leading Consulting company from Germany. They are now looking to expand the portfolio of products for existing and new clients. You’ll be working on a project which is data-driven. Requirements:   — Excellent problem-solving skills and attention to detail. — 5+ years of experience with Python — Strong communication skills, abstracting and communicating complex technical concepts to technical and business stakeholders. — Able to work independently on all technical aspects of the application (database, backend, frontend) since the candidate will be the sole developer of this app for several months. — Strong backend capabilities and familiarity with Python.  — Additionally, an ideal candidate is already familiar with Flask and Python data/vis libraries (Pandas, Plotly, Dash). Otherwise, the candidate needs to be able to pick up these technologies quickly. — Able to work with databases and do data modeling tasks (PostgreSQL). — Frontend capabilities and being able to refine the front-end of the web application independently. Ideally, the candidate is already familiar with HTMX and Bootstrap. — Upper-intermediate English. — Optional: Familiarity with GenAI concepts (Agents, RAG, relevant libraries like langchain). Responsibilities:   — Developing complex functionality on Python. — Implementing complex user stories. — Work with product owners, developers, and quality analysts to drive delivery and participate in all phases of software development. We offer:   — A working environment with plenty of scope for creativity. — Independent work with a well-rehearsed team in the background. — Remote work from Ukraine. — Competitive salary with a long term contract. — Attractive compensation package (20 days of vacation, 5 sick days — 100% compensation). — Super-experienced international team. — Trust and support from the management team. — High degrees of responsibility and autonomy. — Agile teams where your ideas and solutions are valued.",Not specified,"Python,Flask,PostgreSQL,Plotly,Dash,Pandas",Senior Full-stack Engineer (Python+JS)
HIRETOP,"We are looking for a talented Middle/Senior Python Full-Stack Developer to join our client’s dynamic team. The client is a forward-thinking company from  the Netherlands , focused on developing innovative solutions in the legal industry. They are creating a cutting-edge AI assistant designed to streamline legal processes and enhance productivity. Key Responsibilities: Design, develop, and maintain the legal AI assistant application. Implement robust, scalable, and efficient code using Python. Work with Azure Cloud services for deployment and infrastructure management. Utilize LLMs (Large Language Models) to enhance AI capabilities. Integrate and manage data using FactorDB. Ensure high-quality standards and performance optimization of applications. Requirements: Minimum of 3 years of experience. C1 level proficiency in English, both written and verbal. Python proficiency. Experience with Azure Cloud services  or/and  Familiarity with LLMs Experience with FactorDB is desirable. Previous full-stack web development experience is highly desirable. Strong front-end skills with knowledge of HTML, CSS, and JavaScript frameworks (e.g., React, Angular, or Vue.js). We offer: Full-time, fully remote position Flexible and friendly working environment Healthy work-life balance Long-term contract",до $5500,"Python,Azure,ML",Middle/Senior Python Developer
